workflow_id,workflow_name,classification,points,file_name,nodes,active
CONSENT7A2b3c4d5e6f,Chelsea Consent Gate v1.0 — HARDENED STAGED,новый workflow,"2,8",Chelsea Consent Gate v1.0 — HARDENED STAGED.json,7,False
BFL4mN8qR2vT7pXa,Chelsea Critical Store Backfill v1.0 — HARDENED STAGED,новый workflow,"2,4,10",Chelsea Critical Store Backfill v1.0 — HARDENED STAGED.json,25,False
XTYsdwtfZk2RBbBn,Chelsea DLQ Inspector v1.0 — HARDENED STAGED,новый workflow,"2,7",Chelsea DLQ Inspector v1.0 — HARDENED STAGED.json,10,False
DJmQO3G2NwsP9Cbf,Chelsea Dependency Health Check v1.0 — HARDENED STAGED,новый workflow,"2,6,10",Chelsea Dependency Health Check v1.0 — HARDENED STAGED.json,9,False
PFL5cN7vR2mX8qWa,Chelsea Deployment Preflight v1.0 — HARDENED STAGED,новый workflow,"2,6,10",Chelsea Deployment Preflight v1.0 — HARDENED STAGED.json,4,False
gSoMnSr3MCWcU7Ox,Chelsea Error Handler v1.0 — HARDENED STAGED,новый workflow,"2,7",Chelsea Error Handler v1.0 — HARDENED STAGED.json,6,False
FPR5xC9mN2qL7vBd,Chelsea Files Privacy Adapter v1.0 — HARDENED STAGED,новый workflow,8,Chelsea Files Privacy Adapter v1.0 — HARDENED STAGED.json,5,False
IdAuthV1x7Nq4Kb,Chelsea Identity Authority v2.0 — HARDENED STAGED,новый workflow,"1,2",Chelsea Identity Authority v1.0 — HARDENED STAGED.json,8,False
IdBatchV198b1d7e8,Chelsea Identity Batch Migration v1.0 — HARDENED STAGED,новый workflow,"1,2",Chelsea Identity Batch Migration v1.0 — HARDENED STAGED.json,6,False
IdMigTblV1x9Q2aB,Chelsea Identity Data Table Migration Target v1.0 — HARDENED STAGED,новый workflow,1,Chelsea Identity Data Table Migration Target v1.0 — HARDENED STAGED.json,15,False
IdAuditV1m8Hs3Qa,Chelsea Identity Legacy Bootstrap and Readiness v2.0 — HARDENED STAGED,новый workflow,"1,2,10",Chelsea Identity Migration Readiness Audit v1.0 — HARDENED STAGED.json,8,False
IdMigMainV1p7Z4cD,Chelsea Immutable Identity Migration v2.0 — HARDENED STAGED,новый workflow,"1,2",Chelsea Immutable Identity Migration v1.0 — HARDENED STAGED.json,20,False
rY0nkke3WnwcTnf7,Chelsea Integration Smoke Tests v1.0 — HARDENED STAGED,новый workflow,"2,6,10",Chelsea Integration Smoke Tests v1.0 — HARDENED STAGED.json,9,False
LLMRawSecV1e9PaT,Chelsea LLM Raw Response Security Gateway v3.0 — HARDENED STAGED,новый workflow,3,Chelsea LLM Raw Response Security Gateway v3.0 — HARDENED STAGED.json,3,False
LLMReqSecV1d2WxY,Chelsea LLM Request Security Gateway v3.0 — HARDENED STAGED,новый workflow,3,Chelsea LLM Request Security Gateway v3.0 — HARDENED STAGED.json,4,False
DTP7mR4xK2qV9sLc,Chelsea Legacy Data Tables Privacy Adapter v1.0 — HARDENED STAGED,новый workflow,8,Chelsea Legacy Data Tables Privacy Adapter v1.0 — HARDENED STAGED.json,11,False
MemorySecV1c4TuV,Chelsea Memory Candidate Security Validator v3.0 — HARDENED STAGED,новый workflow,3,Chelsea Memory Candidate Security Validator v3.0 — HARDENED STAGED.json,4,False
ModelOutSecV1b6QrS,Chelsea Model Output Security Validator v3.0 — HARDENED STAGED,новый workflow,3,Chelsea Model Output Security Validator v3.0 — HARDENED STAGED.json,4,False
PRIVCLN7d4e5f6a7b8c,Chelsea Privacy Artifact Cleanup Worker v1.0 — HARDENED STAGED,новый workflow,"2,7,8",Chelsea Privacy Artifact Cleanup Worker v1.0 — HARDENED STAGED.json,11,False
CNS4mT8qL2vR7pXa,Chelsea Privacy Consent Intake v1.0 — HARDENED STAGED,новый workflow,"1,2,8",Chelsea Privacy Consent Intake v1.0 — HARDENED STAGED.json,5,False
PRIVDLV7b523f9511cf4,Chelsea Privacy Export Delivery v1.0 — HARDENED STAGED,новый workflow,"2,8",Chelsea Privacy Export Delivery v1.0 — HARDENED STAGED.json,7,False
zYOv6rLZVEjAiTNf,Chelsea Privacy Outbox Worker v1.0 — HARDENED STAGED,новый workflow,"2,7,8",Chelsea Privacy Outbox Worker v1.0 — HARDENED STAGED.json,21,False
kq7AsKLn7RX1Viv7,Chelsea Privacy Request Intake v1.0 — HARDENED STAGED,новый workflow,"1,2,8",Chelsea Privacy Request Intake v1.0 — HARDENED STAGED.json,5,False
PRIVRTR7b2c3d4e5f6a,Chelsea Privacy Telegram Router v1.0 — HARDENED STAGED,новый workflow,"1,2,8",Chelsea Privacy Telegram Router v1.0 — HARDENED STAGED.json,20,False
