point,status,workflow_id,workflow_name,classification,impact
1,✅ Staged-код завершён,IdAuthV1x7Nq4Kb,Chelsea Identity Authority v2.0 — HARDENED STAGED,новый workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,IdBatchV198b1d7e8,Chelsea Identity Batch Migration v1.0 — HARDENED STAGED,новый workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,IdMigTblV1x9Q2aB,Chelsea Identity Data Table Migration Target v1.0 — HARDENED STAGED,новый workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,IdAuditV1m8Hs3Qa,Chelsea Identity Legacy Bootstrap and Readiness v2.0 — HARDENED STAGED,новый workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,IdMigMainV1p7Z4cD,Chelsea Immutable Identity Migration v2.0 — HARDENED STAGED,новый workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,CNS4mT8qL2vR7pXa,Chelsea Privacy Consent Intake v1.0 — HARDENED STAGED,новый workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,kq7AsKLn7RX1Viv7,Chelsea Privacy Request Intake v1.0 — HARDENED STAGED,новый workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,PRIVRTR7b2c3d4e5f6a,Chelsea Privacy Telegram Router v1.0 — HARDENED STAGED,новый workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,JdJJcYvZdJgJiElS,Chelsea Resolution Questions v3.0 [HARDENED STAGED],изменён существовавший workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,JPpslgT3mncJzEEy,Chelsea Task Intent Shadow v1.0 — HARDENED STAGED,новый workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,T1025d0ce7ad99f4,Chelsea Task Operation Normalize Trusted Task Input v1.0 — HARDENED STAGED,новый workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,T104273c7aa49eee,Chelsea Task Operation Prepare Registered Task Users v1.0 — HARDENED STAGED,новый workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,T100abdfea74ba71,Chelsea Task Operation Verify Folder User Identity v1.0 — HARDENED STAGED,новый workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,puNfqcIG1OEjLpPU,Process Chelsea State QdrantOutbox Worker v1.0 — HARDENED STAGED,новый workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,QRD9aL2xK7mP4vNs,Qdrant загрузка и контроль знаний v6.1 — HARDENED STAGED,новый workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,FLD8wK3pR6tY2qHb,Создать папки пользователя v4.0 — HARDENED STAGED,новый workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,kX2iJZ0Bm3hhTjwX,Челси identity resolver v4.0 — HARDENED STAGED,изменён существовавший workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,j0oV9b3T0CCLKMxL,Челси ТГ бот Obsidian v9.0 [HARDENED STAGED],изменён существовавший workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,5GAzkL7PzohlOycF,Челси ТГ входная схема v9.0 [HARDENED STAGED],изменён существовавший workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,COC56dbrXhYqRgFP,Челси диспетчер уточнений v3.1 [HARDENED STAGED],изменён существовавший workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,iG8uV66FHyyQZyn8,Челси задачи команды v2.0 [HARDENED STAGED],изменён существовавший workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,7VsagxmTKlmJ1YJ8,Челси задачи планировщик v2.1 [HARDENED STAGED],изменён существовавший workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,N3GFoezvVmoj0wyp,Челси обработчик очереди памяти v2.9 replacement [HARDENED STAGED],изменён существовавший workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,tWHSD8lBIbiHA3D5,Челси очередь памяти enqueue v2.3 [HARDENED STAGED],изменён существовавший workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,by3HcLFOyOHMZa6H,Челси применение уточнений v3.0 [HARDENED STAGED],изменён существовавший workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
1,✅ Staged-код завершён,Q5JF6Ora2lIjKVeV,Челси регистрация пользователя v3.0 — HARDENED STAGED,изменён существовавший workflow,"Перевод identity на numeric Telegram actor ID, PostgreSQL authority, actor-only storage namespaces, legacy bootstrap/migration и downstream identity boundary."
2,✅ Staged-код завершён,CONSENT7A2b3c4d5e6f,Chelsea Consent Gate v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,BFL4mN8qR2vT7pXa,Chelsea Critical Store Backfill v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,XTYsdwtfZk2RBbBn,Chelsea DLQ Inspector v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,DJmQO3G2NwsP9Cbf,Chelsea Dependency Health Check v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,PFL5cN7vR2mX8qWa,Chelsea Deployment Preflight v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,gSoMnSr3MCWcU7Ox,Chelsea Error Handler v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,IdAuthV1x7Nq4Kb,Chelsea Identity Authority v2.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,IdBatchV198b1d7e8,Chelsea Identity Batch Migration v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,IdAuditV1m8Hs3Qa,Chelsea Identity Legacy Bootstrap and Readiness v2.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
